contents,status
There are now 74 people linked to the Auckland community cluster who remain in the Auckland Quarantine facility that includes 58 people who have tested positive as well as a number of household members.,real
experts say outdoor demonstrations were in sun and wind. in addition people were in motion and most were wearing masks. ,real
NEWS! Racists furious at suggestion they should wear Muslim-style face veil in fight against deadly coronavirus https://t.co/VZNIX69SVh https://t.co/HQ4p8k1GJp,fake
the response to the ongoing pandemic has caused many people to become trapped with abusive partners. we examine the impact of covid-19 on domestic violence. ,real
"Social media posts shared tens of thousands of times claim White House adviser Dr. Anthony Fauci stands alone in insisting hydroxychloroquineÃs effectiveness against COVID-19 is unproven, while Italy, France, Spain and Brazil say it Ãworks.Ã",fake
nearly half of americans have high blood pressure according to the american heart association aha .. ,real
"Mayor of London Sadiq Khan says in London ""although the numbers of positive cases has gone down the indications are the virus has gone up"" Get the latest on #coronavirus: https://t.co/jw9VSoGjgO https://t.co/ITchLqzheU",real
officials in arizona and texas say icu beds are filling up as covid-19 cases continue to rise .. ,real
On the left we see the hotspots we've been tracking for weeks. On the right southern states that may be following behind themâcases have quadrupled since June 1. https://t.co/sKRJ6gNVKv,real
China's Communist government created the novel coronavirus in a laboratory and released it into the world as a deadly bioweapon.,fake
#IndiaFightsCorona: India has registered the highest recoveries in a single day. 68584 #COVID19 patients have recovered in the last 24 hrs. Indiaâs Case Fatality Rate is below the global average (3.3%) stands at 1.75% today. Details: https://t.co/eVvXr0CWVc #StaySafe https://t.co/Pl1nLNgpor,real
2020 clinical practice guidelines on evaluating and testing persons under investigation for coronavirus disease 2019 covid-19 by the centers for disease control and prevention cdc ). ,real
Experts say veterinary labs could relieve some of the pressure on commercial and hospital-based labs to lessen the current delays in COVID-19 testing and results but it is unlikely to be a game changer. @KHNews https://t.co/zsSN1jBJqX,fake
provides guidance on homeless and meal service providers for emergency and day shelters .. ,real
experts say companies need to institute safety rules such as physical distancing and ventilation to make sure their employees stay healthy .. ,real
mayo clinic has used home based cardiac rehab with a small number of patients over the years but the coronavirus pandemic has made it necessary to transition all cardiac rehab to home based settings in a matter of weeks .. ,real
"Says Ohio Gov. Mike DeWine released 4,300 prisoners and is now warning residents of a possible crime wave.",fake
"50-Year Old Canadian Music Awards Show, The Junos, Cancelled Because Of Coronavirus Fearsï¿?- ï¿?9 % of Canadians ask, ""What are the Junos?""",fake
This is not normally what I'll share on my page.Disappointed but relieved facebut I am lost for words. I cried all night thinking of who will pick up that bottle. It baffled me to see that some people still don't realise what the world is going through right nowDouble exclamation mark.Please shareDouble exclamation mark this guy must be arrested,fake
#IndiaFightsCorona India's #COVID Recoveries have witnessed a steep exponential rise - from 50000 in May to over 36 lakh in Sept. A high level of more than 70000 Recoveries reported every day. Recoveries are nearly 3.8 times the Active Cases (under 1/4 total cases). https://t.co/nfQTkAgs2u,real
ICMR set to start multi-centric study to evaluate efficacy of BCG vaccine against COVID19 in elderly https://t.co/GS9BiGJpov,real
Joe Biden tested positive for coronavirus.,fake
guidance for cleaning and disinfecting public spaces workplaces businesses schools and homes .. ,real
based on the limited information available now the risk of pets spreading covid-19 to people is considered to be low. there is no reason to abandon or surrender pets that have been confirmed positive for the virus that causes covid-19. ,real
risk of covid-19 hospitalization and death by race ethnicity. ,real
cdc is working with state local territorial academic and commercial partners to better understand covid-19 in the united states. serology tests look for antibodies in blood. if antibodies are found that means there has been a previous infection. antibodies are proteins that can fight off infections. ,real
"Says the Chinese Communist Party ""will finally admit that the real source of the coronavirus is from ???a lab in Wuhan??? linked to its covert biological weapon programs.""",fake
Last Monday cases hit their lowest daily total since March. Today the case number is up a couple thousand cases from last week though still under 20k. https://t.co/1yPAyScLXL,real
publications from cdc lab professionals during the 2019 novel coronavirus outbreak .. ,real
âThere was no real scientific basis for believing thatâ social distancing would be necessary âsince it had never been studied.â,fake
57 people died due to covid-19 deaths and 5731 people infected because of COMEDK exams in Karnataka,fake
hydroxychloroquine and chloroquine are both approved by the fda to treat or prevent malaria and certain autoimmune conditions such as lupus and rheumatoid arthritis. they have not been approved as a covid-19 treatment. ,real
As at 11:10pm 20th April breakdown of cases by states: Lagos-376 FCT-89 Kano-59 Osun-20 Oyo-16 Edo-15 Ogun-12 Kwara-9 Katsina-12 Bauchi-7 Kaduna-9 Akwa Ibom-9 Delta-4 Ekiti-4 Ondo-3 Enugu-2 Rivers-2 Niger-2 Benue-1 Anambra-1 Borno-3 Jigawa-2 Abia-2 Gombe-5 Sokoto-1,real
Every election year has a disease; coronavirus has a contagion factor of 2 and a cure rate of 99.7% for those under 50 it infects.,fake
Testing has reached a significant milestone - yesterday our laboratories completed 3350 tests bringing the total number of tests completed to date to 301882. This represents 6% of the New Zealand population.,real
if you or your child has type 1 diabetes you already have a lot of extra health worries and now you need to add covid-19 infections to the list .. ,real
As at April 30 2020 34 states and the Federal Capital Territory (FCT) in Nigeria have recorded at least one confirmed case of #COVID19 71% of all cases are from three states #TakeResponsibility https://t.co/fvTHjT4f7T,real
@Chris_Fairchild We donât do that because not all states provide negative results with the same frequency or comprehensiveness. At this point I donât think positive rates are as important as other indicators. -@alexismadrigal,real
The CDC did not reduce its COVID-19 Florida case count and the CDC did not admit any kind of systematic error in its counting of Florida coronavirus cases. This claim rates False. https://t.co/qR1rGU4EQo https://t.co/HTUb0AJPy4,fake
RT @CDCDirector: Remember to practice every day #foodsafety during #COVID19. Put away foods that could spoil such as meats milk &amp; eggsâ?real,
outbreak of coronavirus disease 2019 covid-19 may be stressful. teens and young adults may be feeling worried bored or frustrated. covid-19 is frightening but there are ways to manage your stress. ,real
promoting infection control in health care settings and other high risk areas. ,real
Chlorine dioxide has already proved efficacious as a mouthwash to decreases the load of the covid-19 virus. Bolivia has used it as a safe and effective treatment to eradicate the virus. @ICMRDELHI @CSIR_IND Please can we do a Clinical trial in India? https://t.co/GQKIBmaWPn,fake
Did Kennedy Center give DNC $5 million after getting relief from coronavirus stimulus?,fake
Texas GOP sticks to convention plans as the state set a new daily record for #COVID19 cases. https://t.co/CY31guaZMy,real
Alabama reported over 1000 new daily cases for the first time. https://t.co/M7fZuCitmK,real
@creatiwit @Lord_Loredo @James_Gross It's really the case. We've been tweeting about the weird situation in California for a while. We *think* it's that private testing companies are clogged up (3-4-5+ day wait times) but it could be logistics hurdles for state labs or something else entirely.,real
A post shared thousands of times on Facebook lists companies whose chief executive officers have allegedly stepped down during the novel coronavirus crisis.,fake
#IndiaFightsCorona India crosses the milestone of 1 million #COVID19 tests a day. More than 10 lakh people tested in the last 24 hours. https://t.co/McUcc1JbZJ,real
Democratic congrasswoman Ilhan Omar tweeted that there have been more deaths due to COVID-19 than 9/11 and the wars in Vietnam Iraq and Afghanistan combined,fake
Garlic will prevent coronavirus infection! There is no evidence that it can protect people from COVID-19 but did you ask for evidence before believing this forward? Ask for evidence as soon as you see a WhatsApp forward and tell the sender #MainBhiNewschecker #coronavirusFacts https://t.co/EHsOOLczKo,fake
while shopping for groceries or carrying out essential duties in public people could wear scarves if they re concerned about contracting covid-19 president donald trump said wednesday .. ,real
Latest recommendations for the use of remdesivir and dexamethasone in coronavirus. https://t.co/ztqNSXeqbk https://t.co/v0kZN4N14B,real
Neem leaves powder can cure corona within hours please share this video allah had blessed us with the corona vaccine.,fake
"China just built 57 floors new hospital special for virus Corona 
patients . In the 16 hours finished the first floors . 19 days finished 
57 floors hospital include the water and electric power and all 
hospital equipment .",fake
A short portion of an interview given by discredited researcher Judy Mikovits in which she claims that a vaccine for COVID-19 will be deadly warns against immunization and advocates for a five-year moratorium to test all vaccines has been watched tens of thousands of times on YouTube and Facebook.,fake
nationally levels of influenza like illness ili declined again this week. they have been below the national baseline for two weeks but remain elevated in the northeastern and northwestern part of the country. ,real
35 were tested after leaving managed isolation and others tested while still in self isolation. 11 will not be tested either on the basis of health because they are a child or because they have left the country.,real
this report describes a survey taken during may among adults in the united states that found widespread support for stay at home orders and nonessential business closures and a high degree of adherence to covid-19 mitigation guidelines .. ,real
